year,event,player,team,region,role,rating,agents,rounds
2022,Masters 1,Nivera,TL,EMEA,Sentinel,1.06,"chamber,killjoy,cypher",243
2022,Masters 1,Jinggg,PRX,Pacific,Duelist,1.06,"reyna,raze,kayo",209
2022,Masters 1,Mixwell,G2,Americas,Flex,1.05,"chamber,jett",128
2022,Masters 1,cauanzin,NIP,Americas,Initiator,1.04,"sova,sage,kayo",147
2022,Masters 1,crashies,OPTC,Americas,Initiator,1.03,"sova,skye,kayo",468
2022,Masters 1,Victor,OPTC,Americas,Duelist,1.03,"kayo,raze,neon",468
2022,Masters 1,Laz,ZETA,Pacific,Sentinel,1.02,"chamber,killjoy,viper",431
2022,Masters 1,BuZz,KRX,Pacific,Sentinel,1.00,"jett,killjoy,chamber",271
2022,Masters 1,Less,LOUD,Americas,Flex,0.99,"viper,killjoy",240
2022,Masters 1,Mistic,FNC,EMEA,Controller,0.99,"omen,brimstone,viper",85
2022,Masters 1,TENNN,ZETA,Pacific,Flex,0.98,"sage,skye,raze",431
2022,Masters 1,Sushiboys,XIA,China,Sentinel,0.97,"killjoy,cypher",163
2022,Masters 1,L1NK,TL,EMEA,Controller,0.97,"brimstone,omen,astra",243
2022,Masters 1,NagZ,KRÜ,Americas,Sentinel,0.96,"chamber,jett,sage",89
2022,Masters 1,bnj,NIP,Americas,Controller,0.96,"omen,viper,brimstone",147
2022,Masters 1,H1ber,FNC,EMEA,Duelist,0.96,"jett,raze,chamber",85
2022,Masters 1,keznit,KRÜ,Americas,Duelist,0.96,"jett,chamber,raze",89
2022,Masters 1,valyn,TGRD,Americas,Controller,0.95,"viper,omen,brimstone",108
2022,Masters 1,d4v41,PRX,Pacific,Initiator,0.94,"sova,skye,killjoy",209
2022,Masters 1,JonahP,TGRD,Americas,Controller,0.94,"omen,breach,viper",108
2022,Masters 1,soulcas,TL,EMEA,Duelist,0.93,"neon,sova,raze",243
2022,Masters 1,Dep,ZETA,Pacific,Flex,0.93,"jett,viper,sage",431
2022,Masters 1,Surf,XIA,China,Duelist,0.92,jett,163
2022,Masters 1,pANcada,LOUD,Americas,Sentinel,0.91,"sage,omen,chamber",240
2022,Masters 1,nukkye,G2,Americas,Duelist,0.90,"raze,sova,jett",128
2022,Masters 1,bezn1,NIP,Americas,Sentinel,0.89,"killjoy,cypher,sage",147
2022,Masters 1,Klaus,KRÜ,Americas,Initiator,0.88,"breach,kayo,viper",89
2022,Masters 1,crow,ZETA,Pacific,Initiator,0.87,"sova,breach,skye",431
2022,Masters 1,neT,TGRD,Americas,Sentinel,0.86,"chamber,killjoy,cypher",108
2022,Masters 1,mindfreak,PRX,Pacific,Controller,0.85,"omen,brimstone,viper",209
2022,Masters 1,foxz,XIA,China,Initiator,0.85,"sova,skye,sage",163
2022,Masters 1,trent,TGRD,Americas,Initiator,0.84,"sova,skye,breach",108
2022,Masters 1,AvovA,G2,Americas,Flex,0.83,"omen,kayo",128
2022,Masters 1,Jonn,NIP,Americas,Duelist,0.83,"jett,reyna,sage",147
2022,Masters 1,FiNESSE,OPTC,Americas,Sentinel,0.81,"sage,killjoy,viper",468
2022,Masters 1,delz1k,KRÜ,Americas,Controller,0.81,"brimstone,omen",89
2022,Masters 1,saadhak,LOUD,Americas,Initiator,0.80,"chamber,breach,kayo",240
2022,Masters 1,Rb,KRX,Pacific,Duelist,0.80,"sage,jett,raze",271
2022,Masters 1,Crws,XIA,China,Flex,0.77,"sage,breach",163
2022,Masters 1,MAGNUM,FNC,EMEA,Sentinel,0.77,"killjoy,viper,cypher",85
2022,Masters 1,Meddo,G2,Americas,Flex,0.73,"breach,viper,cypher",128
2022,Masters 1,Mazino,KRÜ,Americas,Initiator,0.68,"sage,sova,skye",89
2022,Masters 1,Boaster,FNC,EMEA,Initiator,0.58,"kayo,skye,breach",85
2022,Masters 2,Cryocells,XSET,Americas,Flex,1.29,"chamber,jett",119
2022,Masters 2,Sayf,GLD,EMEA,Flex,1.22,"chamber,jett,skye",229
2022,Masters 2,Shao,FPX,EMEA,Initiator,1.19,"sage,fade,sova",554
2022,Masters 2,yay,OPTC,Americas,Sentinel,1.16,chamber,393
2022,Masters 2,Leo,GLD,EMEA,Initiator,1.16,"fade,breach,sova",229
2022,Masters 2,trexx,GLD,EMEA,Flex,1.16,"raze,cypher,kayo",229
2022,Masters 2,ardiis,FPX,EMEA,Flex,1.15,"chamber,kayo,jett",554
2022,Masters 2,SUYGETSU,FPX,EMEA,Sentinel,1.14,"viper,sage,cypher",340
2022,Masters 2,saadhak,LOUD,Americas,Initiator,1.13,"sage,breach,kayo",136
2022,Masters 2,zekken,XSET,Americas,Duelist,1.13,"jett,raze,sova",119
2022,Masters 2,MaKo,KRX,Pacific,Controller,1.13,"astra,viper,omen",253
2022,Masters 2,mindfreak,PRX,Pacific,Controller,1.12,"astra,viper,brimstone",244
2022,Masters 2,Meteor,NTH,Pacific,Duelist,1.11,"jett,neon,chamber",150
2022,Masters 2,Tacolilla,LEV,Americas,Sentinel,1.11,chamber,222
2022,Masters 2,Alfajer,FNC,EMEA,Sentinel,1.10,"killjoy,raze,sage",234
2022,Masters 2,keznit,KRÜ,Americas,Flex,1.09,"raze,kayo",182
2022,Masters 2,stax,KRX,Pacific,Initiator,1.09,"kayo,skye,breach",253
2022,Masters 2,Derke,FNC,EMEA,Flex,1.09,"chamber,raze",234
2022,Masters 2,Marved,OPTC,Americas,Controller,1.08,"omen,brimstone,kayo",393
2022,Masters 2,d4v41,PRX,Pacific,Initiator,1.08,"kayo,chamber,fade",244
2022,Masters 2,Surf,XIA,China,Flex,1.05,"chamber,jett",142
2022,Masters 2,pANcada,LOUD,Americas,Controller,1.05,"brimstone,omen,sage",136
2022,Masters 2,sScary,XIA,China,Controller,1.05,"viper,astra,omen",142
2022,Masters 2,BuZz,KRX,Pacific,Sentinel,1.04,"killjoy,chamber",253
2022,Masters 2,aspas,LOUD,Americas,Duelist,1.04,"raze,chamber,jett",136
2022,Masters 2,Jinggg,PRX,Pacific,Duelist,1.04,"raze,sage,neon",244
2022,Masters 2,foxz,XIA,China,Initiator,1.02,"skye,fade,sova",142
2022,Masters 2,Zyppan,FPX,EMEA,Initiator,1.00,"raze,kayo,skye",554
2022,Masters 2,Boaster,FNC,EMEA,Controller,1.00,"viper,omen,astra",234
2022,Masters 2,Enzo,FNC,EMEA,Initiator,1.00,"sova,fade,viper",234
2022,Masters 2,koldamenta,GLD,EMEA,Controller,1.00,"astra,brimstone,viper",229
2022,Masters 2,JoXJo,NTH,Pacific,Initiator,1.00,"fade,breach,skye",150
2022,Masters 2,crashies,OPTC,Americas,Initiator,1.00,"skye,kayo,sova",393
2022,Masters 2,Mazino,KRÜ,Americas,Initiator,0.98,"sage,fade,skye",182
2022,Masters 2,f0rsakeN,PRX,Pacific,Duelist,0.98,"chamber,neon,yoru",244
2022,Masters 2,Melser,LEV,Americas,Controller,0.98,"astra,viper,omen",222
2022,Masters 2,adverso,LEV,Americas,Initiator,0.96,"sova,breach,viper",222
2022,Masters 2,Benkai,PRX,Pacific,Initiator,0.95,"fade,breach,sage",244
2022,Masters 2,Zest,KRX,Pacific,Initiator,0.95,"fade,sova,brimstone",253
2022,Masters 2,Rb,KRX,Pacific,Duelist,0.95,"jett,neon,raze",253
2022,Masters 2,Shyy,LEV,Americas,Initiator,0.94,"fade,skye,kayo",222
2022,Masters 2,Crws,XIA,China,Initiator,0.93,"brimstone,kayo,breach",142
2022,Masters 2,BcJ,XSET,Americas,Flex,0.92,"skye,omen",119
2022,Masters 2,NagZ,KRÜ,Americas,Sentinel,0.91,chamber,182
2022,Masters 2,Victor,OPTC,Americas,Duelist,0.90,"neon,raze,jett",393
2022,Masters 2,Klaus,KRÜ,Americas,Flex,0.88,"breach,viper",182
2022,Masters 2,Less,LOUD,Americas,Sentinel,0.86,"chamber,viper,killjoy",136
2022,Masters 2,FiNESSE,OPTC,Americas,Initiator,0.85,"breach,viper,fade",393
2022,Masters 2,xnfri,NTH,Pacific,Initiator,0.85,"kayo,chamber,skye",150
2022,Masters 2,Sushiboys,XIA,China,Flex,0.84,"raze,killjoy",142
2022,Masters 2,SEIDER,FPX,EMEA,Controller,0.84,"viper,omen,sage",214
2022,Masters 2,kiNgg,LEV,Americas,Duelist,0.83,"kayo,raze,neon",222
2022,Masters 2,delz1k,KRÜ,Americas,Controller,0.83,"brimstone,omen,sova",182
2022,Masters 2,Sacy,LOUD,Americas,Initiator,0.81,"breach,fade,sova",136
2022,Masters 2,ANGE1,FPX,EMEA,Initiator,0.81,"fade,kayo,brimstone",554
2022,Masters 2,Derialy,NTH,Pacific,Sentinel,0.79,"killjoy,brimstone,sage",150
2022,Masters 2,Mistic,FNC,EMEA,Initiator,0.78,"sage,breach,kayo",234
2022,Masters 2,dephh,XSET,Americas,Flex,0.75,"breach,brimstone,sage",119
2022,Masters 2,AYRIN,XSET,Americas,Controller,0.74,"omen,viper,killjoy",119
2022,Masters 2,BlackWiz,NTH,Pacific,Controller,0.72,"astra,fade,omen",150
2022,Masters 2,Russ,GLD,EMEA,Flex,0.66,"kayo,sage,viper",229
2022,Champions,kiNgg,LEV,Americas,Flex,1.31,"raze,kayo,viper",179
